dc31001 14414.49900000001 15992.922999999952 2094.579
dc31002 14412.983999999997 16000.226999999955 2091.641
dc31003 14408.838999999978 16009.015999999829 2089.800
dc31004 14403.085000000021 16020.382999999914 2087.597
dc31005 14401.195999999996 16025.15100000007 2085.221
dc31006 14399.590000000026 16029.209999999963 2083.092
dc31007 14396.843999999983 16033.856999999844 2081.507
dc31008 14391.864000000001 16037.878000000026 2080.237
dc31009 14388.614000000001 16040.856999999844 2078.881
dc31010 14380.488000000012 16044.57200000016 2077.390
dc31011 14374.924999999988 16047.910999999847 2076.135
dc31012 14367.071999999986 16051.274000000209 2074.822
dc31013 14361.235999999975 16053.160999999847 2074.298
dc31014 14353.706000000006 16051.376000000164 2073.661
dc31015 14344.690999999992 16043.473000000231 2073.060
dc31016 14337.281000000017 16037.038999999873 2072.915
dc31017 14330.157999999996 16030.009999999776 2072.565
dc31018 14324.233000000007 16023.862000000197 2072.915
dc31019 14319.68300000002 16017.040000000037 2073.294
dc31020 14332.869000000006 16000.337999999989 2075.858
dc31021 14340.530000000028 15989.555000000168 2078.263
dc31022 14349.819000000018 15995.933999999892 2078.402
dc31023 14359.379000000015 16004.410000000149 2079.623
dc31024 14358.858000000007 15997.109000000171 2082.234
dc31025 14360.217000000004 15993.064999999944 2084.526
dc31026 14361.791000000027 15989.669999999925 2086.921
dc31027 14359.456999999995 15985.373999999836 2088.356
dc31028 14353.962999999989 15980.18200000003 2088.789
dc31029 14346.751999999979 15973.246999999974 2089.196
dc31030 14333.233000000007 15959.404999999795 2088.688
dc31031 14324.601000000024 15950.091000000015 2090.030
dc31032 14329.431999999972 15941.709999999963 2092.322
dc31033 14322.493000000017 15939.981999999844 2091.964
dc31034 14321.257999999973 15934.384000000078 2093.491
dc31035 14323.581999999995 15929.342999999877 2094.557
dc31036 14329.344999999972 15927.4580000001 2094.791
dc31037 14336.087 15933.794000000227 2094.660
dc31038 14350.647999999986 15947.566999999806 2094.048
dc31039 14357.215000000026 15953.507999999914 2093.831
dc31040 14363.063000000024 15959.541000000201 2093.633
dc31041 14366.001999999979 15963.0830000001 2093.554
dc31042 14373.667000000016 15970.39699999988 2093.226
dc31043 14380.870999999985 15977.736000000034 2092.906
dc31044 14391.54700000002 15984.64000000013 2093.204
dc31045 14405.332999999984 15988.203000000212 2094.468
dm101 14393.347000000009 15966.108000000007 2097.136
dm102 14388.235999999975 15970.941000000108 2095.623
dm103 14384.277999999991 15975.325000000186 2095.139
dm104 14381.213999999978 15978.02600000007 2092.878
dm105 14378.331999999995 15981.770000000019 2092.723
dm106 14375.655000000028 15985.158999999985 2091.441
dm107 14373.462999999989 15988.547999999952 2090.558
dm108 14372.055999999982 15990.348000000231 2089.732
dm109 14369.392999999982 15993.052000000142 2087.700
dm110 14366.18300000002 15995.748000000138 2085.385
dm111 14363.583999999973 15998.373999999836 2083.164
dm112 14361.880000000005 16000.055000000168 2082.313
dm113 14360.004000000015 16001.856999999844 2080.933
dm114 14358.053000000014 16003.93600000022 2079.268
dm115 14352.353000000003 16009.058000000194 2077.336
dm116 14346.092999999993 16014.899999999907 2075.667
dm117 14340.440999999992 16020.52199999988 2074.166
dm118 14334.462999999989 16027.506000000052 2073.229
dm119 14331.391000000003 16030.597000000067 2072.985
dm201 14346.58600000001 16044.319000000134 2073.237
dm202 14351.788 16039.52199999988 2073.731
dm203 14355.929999999993 16034.910000000149 2074.833
dm204 14360.473999999987 16030.009999999776 2076.008
dm205 14361.364000000001 16028.705000000075 2076.657
dm206 14370.943000000028 16020.709999999963 2079.352
dm207 14375.032999999996 16016.094000000041 2081.435
dm208 14377.652999999991 16012.337999999989 2083.242
dm209 14379.781000000017 16008.242000000086 2085.828
dm210 14382.216000000015 16006.376999999862 2087.197
dm211 14385.261999999988 16003.814999999944 2089.512
dm212 14390.282000000007 15998.322999999858 2090.692
dm213 14395.581000000006 15991.413000000175 2092.857
dm214 14398.967000000004 15987.388999999966 2093.946
dm215 14397.75099999999 15983.76099999994 2095.501
dm216 14401.397999999986 15979.570999999996 2096.006
dm217 14405.00900000002 15975.75400000019 2097.029
